"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","TOT","PC_LF","M","2000-01",3.9,
"NLD","HUR","TOT","PC_LF","M","2000-02",3.9,
"NLD","HUR","TOT","PC_LF","M","2000-03",3.8,
"NLD","HUR","TOT","PC_LF","M","2000-04",3.8,
"NLD","HUR","TOT","PC_LF","M","2000-05",3.7,
"NLD","HUR","TOT","PC_LF","M","2000-06",3.7,
"NLD","HUR","TOT","PC_LF","M","2000-07",3.6,
"NLD","HUR","TOT","PC_LF","M","2000-08",3.6,
"NLD","HUR","TOT","PC_LF","M","2000-09",3.5,
"NLD","HUR","TOT","PC_LF","M","2000-10",3.4,
"NLD","HUR","TOT","PC_LF","M","2000-11",3.4,
"NLD","HUR","TOT","PC_LF","M","2000-12",3.3,
"NLD","HUR","TOT","PC_LF","M","2001-01",3.2,
"NLD","HUR","TOT","PC_LF","M","2001-02",3.2,
"NLD","HUR","TOT","PC_LF","M","2001-03",3.2,
"NLD","HUR","TOT","PC_LF","M","2001-04",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-05",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-06",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-07",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-08",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-09",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-10",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-11",3.1,
"NLD","HUR","TOT","PC_LF","M","2001-12",3.2,
"NLD","HUR","TOT","PC_LF","M","2002-01",3.2,
"NLD","HUR","TOT","PC_LF","M","2002-02",3.3,
"NLD","HUR","TOT","PC_LF","M","2002-03",3.4,
"NLD","HUR","TOT","PC_LF","M","2002-04",3.4,
"NLD","HUR","TOT","PC_LF","M","2002-05",3.5,
"NLD","HUR","TOT","PC_LF","M","2002-06",3.6,
"NLD","HUR","TOT","PC_LF","M","2002-07",3.7,
"NLD","HUR","TOT","PC_LF","M","2002-08",3.8,
"NLD","HUR","TOT","PC_LF","M","2002-09",3.9,
"NLD","HUR","TOT","PC_LF","M","2002-10",4,
"NLD","HUR","TOT","PC_LF","M","2002-11",4.1,
"NLD","HUR","TOT","PC_LF","M","2002-12",4.2,
"NLD","HUR","TOT","PC_LF","M","2003-01",4.3,
"NLD","HUR","TOT","PC_LF","M","2003-02",4.3,
"NLD","HUR","TOT","PC_LF","M","2003-03",4.5,
"NLD","HUR","TOT","PC_LF","M","2003-04",4.6,
"NLD","HUR","TOT","PC_LF","M","2003-05",4.7,
"NLD","HUR","TOT","PC_LF","M","2003-06",4.8,
"NLD","HUR","TOT","PC_LF","M","2003-07",4.9,
"NLD","HUR","TOT","PC_LF","M","2003-08",5,
"NLD","HUR","TOT","PC_LF","M","2003-09",5.1,
"NLD","HUR","TOT","PC_LF","M","2003-10",5.2,
"NLD","HUR","TOT","PC_LF","M","2003-11",5.2,
"NLD","HUR","TOT","PC_LF","M","2003-12",5.4,
"NLD","HUR","TOT","PC_LF","M","2004-01",5.4,
"NLD","HUR","TOT","PC_LF","M","2004-02",5.4,
"NLD","HUR","TOT","PC_LF","M","2004-03",5.5,
"NLD","HUR","TOT","PC_LF","M","2004-04",5.7,
"NLD","HUR","TOT","PC_LF","M","2004-05",5.8,
